seller,gigId,url,firstSeen,lastUpdated,sellerLevel,sellerCountry,sellerDisplayName,isPro,isHighlyResponsive,memberSince,title,price,delivery,rating,sellerRatingScore,sellerRatingCount,numPackages,category,subCategory,industry,gigTags,description,totalOrders_2026-03-11,gigReviews_2026-03-11,ordersInQueue_2026-03-11,priceOnDay_2026-03-11,totalOrders_2026-03-12,gigReviews_2026-03-12,ordersInQueue_2026-03-12,priceOnDay_2026-03-12,totalOrders_2026-03-13,gigReviews_2026-03-13,ordersInQueue_2026-03-13,priceOnDay_2026-03-13,totalOrders_2026-03-14,gigReviews_2026-03-14,ordersInQueue_2026-03-14,priceOnDay_2026-03-14,totalOrders_2026-03-16,gigReviews_2026-03-16,ordersInQueue_2026-03-16,priceOnDay_2026-03-16,totalOrders_2026-03-17,gigReviews_2026-03-17,ordersInQueue_2026-03-17,priceOnDay_2026-03-17,totalOrders_2026-03-18,gigReviews_2026-03-18,ordersInQueue_2026-03-18,priceOnDay_2026-03-18,totalOrders_2026-03-19,gigReviews_2026-03-19,ordersInQueue_2026-03-19,priceOnDay_2026-03-19,totalOrders_2026-03-22,gigReviews_2026-03-22,ordersInQueue_2026-03-22,priceOnDay_2026-03-22,totalOrders_2026-03-23,gigReviews_2026-03-23,ordersInQueue_2026-03-23,priceOnDay_2026-03-23
abdul_haseeb_2,191541826,https://www.fiverr.com/abdul_haseeb_2/brand-identity-style-guides-with-logo-design-guidelines-branding-book,11/03/2026,3/24/2026 03:58:38,Top Rated Seller,PK,Abdul Haseeb,No,Yes,19/01/2021,design brand style guides identity with logo design guidelines branding book,$100,2d,4.8,4.89,854,3,Graphics & Design,Brand Style Guides,,brand guideline | logo design | brand style guides | brand logo | brand book,"Hi, I’m Abdul Haseeb, the creative mind behind powerful brand identities. With a degree in graphic design and a passion for storytelling through visuals, I specialize in designing logos, brand style guidelines, and visual systems that don’t just look good, they leave a mark that time can’t erase.

A logo is the face, but the heartbeat of your brand is what truly matters. My mission is to uplift your business into a brand people admire, remember, and trust. Together, we’ll build an identity that stands tall, speaks loud, and stays remarkable.

Let’s create a legacy, not just a brand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1288,546,19,$100
A logo is the face, but the heartbeat of your brand is what truly matters. My mission is to uplift your business into a brand people admire, remember, and trust. Together, we’ll build an identity that stands tall, speaks loud, and stays remarkable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let’s create a legacy," not just a brand.,1268,543,20,$100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cvdesk,377113017,https://www.fiverr.com/cvdesk/do-professional-business-flyer-design-brochure-design-for-your-business,11/03/2026,3/24/2026 03:58:38,Level 2 Seller,BD,Cv Desk,No,Yes,24/10/2022,"design a professional logo, brand book, and corporate brand identity guidelines",$50,3d,5,4.82,836,3,Graphics & Design,Brand Style Guides,,brand guideline | logo design | brand style guide | corporate identity | brand book,"I'm a presentation designer and brand style guide specialist with 6 years of experience. I craft cohesive brand identities from a minimalist logo to a complete branding kit delivering a detailed brand style guide and a brand book that capture your brand's essence.

I also transform ideas into impactful visual stories whether you need a Canva presentation, a Keynote presentation, a PowerPoint redesign to elevate your PowerPoint slides, or a compelling pitch deck design. I bring a confident, creative approach to every project, delivering professional presentation design that wows your audience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,70,0,$50
I also transform ideas into impactful visual stories whether you need a Canva presentation, a Keynote presentation, a PowerPoint redesign to elevate your PowerPoint slides, or a compelling pitch deck design. I bring a confident, creative approach to every project," delivering professional presentation design that wows your audience.,1429,61,2,$50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mrtranscendence,448616551,https://www.fiverr.com/mrtranscendence/design-a-professional-logo-brand-book-and-corporate-brand-identity,11/03/2026,3/24/2026 03:58:38,Top Rated Seller,IN,Abhi C,Yes,Yes,06/11/2016,"design a professional logo, brand book, and corporate brand identity guidelines",$125,3d,4.8,4.88,61784,3,Graphics & Design,Brand Style Guides,,minimalist logo | brand style guide | branding design,"I'm Abhi, a passionate graphic designer & Web developer based in India, with 10+ years of experience. I've worked with notable clients like BMW, Cisco, EA Sports, DC Pro, Fiverr internal communications, etc. I specialize in Logo Design and Brand Identity design. I'm available: Mon/Sat- 12am/12pm(EST). Let's connect :)",137937,175,110,$125,137939,175,111,$125,137954,176,108,$125,137977,177,112,$125,138012,179,113,$125,138030,181,108,$125,138044,183,104,$125,138059,183,105,$125,138092,186,102,$125,138108,188,106,$125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stackmaster_,450676111,https://www.fiverr.com/stackmaster_/develop-ai-mobile-app-and-website-ai-chatbot-ai-software-developer-ai-agent,11/03/2026,3/24/2026 03:58:38,Level 2 Seller,BD,Naimur,No,Yes,20/04/2025,"design a professional logo, brand book, and corporate brand identity guidelines",$25,3d,5,4.99,170,3,Graphics & Design,Brand Style Guides,,logo design | brand style guide | brand logo design | corporate branding | brand book,"I’m Naimur Rahman, a brand-focused logo designer specializing in clean visuals and well-defined brand guidelines. I help businesses shape identities that feel intentional and cohesive by setting clear standards for logo usage, color harmony, typography, and layout structure. My process emphasizes precision and simplicity so your brand remains visually strong and easy to maintain as it grows. The result is a polished identity that communicates professionalism and builds trust across all platforms. Let’s make your brand visually clear and easy to recognize",169,156,4,$25,169,156,4,$25,172,156,3,$25,176,159,4,$25,179,164,5,$25,181,166,5,$25,183,168,5,$25,183,168,4,$25,184,168,2,$25,186,170,3,$25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nicolette7,302607826,https://www.fiverr.com/nicolette7/design-an-amazing-full-brand-style-guide,11/03/2026,3/19/2026 03:43:01,Level 2 Seller,BG,Nicolette M,Yes,Yes,07/10/2018,design an amazing full brand style guide,$600,7d,4.8,5,35,3,Graphics & Design,Brand Style Guides,,logo creation | stationery | corporate identity | company logo,"I'm enthusiastic, creative graphic designer with over 10 years of experience in developing engaging and innovative digital and print designs for clients in broad range of industries. Skilled with Adobe Creative Suite, Microsoft Office, Corel Draw, I'm able to stretch the boundaries of design and digital storytelling to help my client’s brands stand out.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have creative experience in the following:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  • Logo Design, Corporate Identity & Branding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  • Brochures, Flyers, Posters & etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  • Color Rendering and Correction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  • Photography and Photo Retouching/Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
